conditions,brand,year,adress,price,image
Venant,Yamaha,2020,Plateau                                                                                 Dakar,3000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/85b829217fe1109281f4616ae4a51e2c/-/horizon-files-prod/ed/picture/q6xdvppp/bfdf71bc8c86922f5a6254c3bb536c294592836b.jpg
D,Yamaha,2023,Plateau                                                                                 Dakar,4000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c6bb6a00c96cac526aacf2dcf59ec899/-/horizon-files-prod/ed/picture/qq4260mv/95204cabaf6e866f59e20efa6aad308b25cedbce.jpg
Venant,BMW,2024,Cité Damel                                                                                 Dakar,9000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb607e2b0a333aa4245ed33e8266f1b1/-/horizon-files-prod/ed/picture/q78wg60q/8df857bab8b3ec10c739b3f1ca8681d42d8bfd86.jpg
D,Honda,2006,Hann maristes                                                                                 Dakar,450000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cdcb6d251bf65a44b370b75063776054/-/horizon-files-prod/ed/picture/qkr80kv5/07a75f580128913b6280711ef4c25d3202314c5c.jpg
Neuf,Haojue,2024,Derkle                                                                                 Dakar,650000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6705f80010ed591c92144661e9c03d6c/-/horizon-files-prod/ed/picture/qxj2r67m/e37a44e1edec70c7403746fb5a78e3ccbf810e1e.jpg
Venant,Honda,2023,Keur Massar                                                                                 Dakar,4500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c100516bb9ef792029ce81158e636667/-/horizon-files-prod/ed/picture/qq426656/1e413aa2a76e248897aa9e1e3f268026ab471707.jpg
Venant,Yamaha,2024,Liberte 6 extension                                                                                 Dakar,700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac354ef7e093d2933707f46a83519eec/-/horizon-files-prod/ed/picture/qxjpqgq4/12017b9fb4c60180d774e38eb896e63acfdd8ed3.jpg
Venant,BMW,2020,Hann maristes                                                                                 Dakar,5500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/86abdb3b50019f1ede6da3ed45855c41/-/horizon-files-prod/ed/picture/q9mjgjgj/c7cd24d0dc36e74c78309ef37fc44925601d7337.jpg
Venant,Honda,2020,Hann maristes                                                                                 Dakar,3700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73ef89c093b50ee3c54a6c7d763ce279/-/horizon-files-prod/ed/picture/qngpwgzk/10739ab46e301cb28964a71989ed3fcc8a13a3b9.jpg
Venant,Suzuki,1994,Cambérène                                                                                 Dakar,650000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/912728c7162e1c8fb6ef3a771bcff099/-/horizon-files-prod/ed/picture/qkr8x9jn/8f6abba39c782ff2cee966f3d8d7a17c1a6e97bb.jpg
D,Yamaha,2022,Plateau                                                                                 Dakar,6000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e4dd7392bbb04c591d328ec819c5ce8/-/horizon-files-prod/ed/picture/qde7nr25/753d096914ce8cbc8530e06574f3052d9039bee8.jpg
Venant,Honda,2020,Plateau                                                                                 Dakar,850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6a27ac578f851f6c50fbd1209edcdfc4/-/horizon-files-prod/ed/picture/q44n6egz/66564cd8d5df95dbf6b5c4ac1a5941cff189528c.jpg
Venant,Ducati,2018,Médina                                                                                 Dakar,5000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ee804199a7b2b6fd436506ea51284be2/-/horizon-files-prod/ed/picture/qm5gj2ej/10d63abf652d1d32c7b1b70e334aa7cef7c87933.jpg
Venant,Yamaha,2018,Plateau                                                                                 Dakar,2300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c788563d764d342c4011dcf3a48ccc6e/-/horizon-files-prod/ed/picture/qngpjerm/4b104da5dbd7dd777343e48008350c3e1cb7e1be.png
Venant,Honda,2023,Plateau                                                                                 Dakar,4950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/43f9d036229bd894e85ca90f7d73684d/-/horizon-files-prod/ed/picture/qxjpkmr2/a853f3501ef406deb6a65229851d74c0c51efa64.jpg
Venant,BMW,2024,Almadies                                                                                 Dakar,9000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/721eadf486e4748a9f129cb4f6b47842/-/horizon-files-prod/ed/picture/qq425xz7/cabc1b95c4f92a9aea2839d6a302ea8e011a0571.jpg
D,Piaggio,2018,Yoff                                                                                 Dakar,750000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d815e64ca3612647306da0d81538a032/-/horizon-files-prod/ed/picture/qngpjk6r/a974a759c655f330086b803ce73ef7997387f310.jpg
Neuf,TGB,2022,Mbour                                                                                 Thiès,5980000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb7223d9ae275f7514d06e9c9a4027b5/-/horizon-files-prod/ed/picture/qkr8xqjw/d6f24505d2294ed89fe932d68862e6b79c0feaf6.jpg
Venant,Kawasaki,2024,Pikine                                                                                 Dakar,950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/33ac8b7607cb6f1c3c7338688a174ffd/-/horizon-files-prod/ed/picture/qngp7qvw/4e4cbf6675a16993e05c93fcc47b00127237d281.jpg
Venant,Kymco,2024,Pikine                                                                                 Dakar,525000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/047cc5fe98af8a143ef7880decc135b0/-/horizon-files-prod/ed/picture/q6xdqxj4/aaec4e39bcbcf5ea9ebf695b7c42f05aed5768b4.jpg
Neuf,Lifan,2024,Sicap Liberté                                                                                 Dakar,1350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/995c781c5818eeb8da73e215f5788071/-/horizon-files-prod/ed/picture/qkr88488/5b1dd419440d6730def3b3adef0d2f065462d092.jpg
D,Honda,2022,Grand-Dakar                                                                                 Dakar,1600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/749dc7cd816ce0baf8a2fc52823fc6b0/-/horizon-files-prod/ed/picture/q6xdrr84/3a3aacb1d950b729604a663c8733933d3e0e6e15.jpg
Neuf,Bajaj,2024,Liberte 6                                                                                 Dakar,500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d194ead9cd2d9eef24b2313354928ca/-/horizon-files-prod/ed/picture/q8v4m0w4/2bdd769e04c4f2bea062d0e6060f3cc30ec5343f.jpg
Venant,Yamaha,2012,Saly Portudal                                                                                 Thiès,750000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e3aca326c594bb94ae3fe9f2d4738f8b/-/horizon-files-prod/ed/picture/q6xddx9j/c5284594fe351e868e0d4bc139f4bfc3786df635.jpg
D,Honda,2019,Plateau                                                                                 Dakar,2800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/831dd58e4695e51cbe7e6bee3f68da69/-/horizon-files-prod/ed/picture/qrz8j8nq/779241dd220251ffaa30661fb1bf9cfa157f7af7.jpg
Neuf,Yamaha,2024,Liberte 6 extension                                                                                 Dakar,1400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/27cf3f0fad1fb99483f8ce0ad6300cd1/-/horizon-files-prod/ed/picture/q44n68gp/85a7dddd9169f5577093188d86a46346902a819f.jpg
Neuf,Honda,2017,Parcelles Assainies                                                                                 Dakar,550000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d833844d37fc769a5d4dedeb08be0ed/-/horizon-files-prod/ed/picture/qgqwd952/d90faf1e2c808cea950e844094190f1f339f22f2.jpg
D,Vespa,2022,Plateau                                                                                 Dakar,700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4b0936290ee80b37e3a9f0bcca045ede/-/horizon-files-prod/ed/picture/qq42wjp4/10298f3ff0a3670a1024a64676724fdb18a6f7ca.jpg
Venant,Aprilia,2010,Guediawaye                                                                                 Dakar,800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b30c10f3a1efeec8736006e4ac15011c/-/horizon-files-prod/ed/picture/qm5gv7wj/90077db6521863cd36464e8dba4574f38d7155d3.jpg
Venant,KTM,2023,Hann maristes                                                                                 Dakar,2300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d419b4fe62f7849f432082222f8e0e58/-/horizon-files-prod/ed/picture/q44nrd9r/d8fc325538e4d91dc00e6e5d0321feffe1b17a2f.png
D,Arctic,Cat,Pikine                                                                                 Dakar,1500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/18dfed0e42ecf2d64f80ad344bf4ed5e/-/horizon-files-prod/ed/picture/qwepn5k4/5ba0cf8d6026cd84deaa4be5584b6bcdb2e0ed1d.jpg
Venant,Yamaha,2024,Fann Hock                                                                                 Dakar,5250000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d60539c34cacae9b31516aa15ff299d6/-/horizon-files-prod/ed/picture/q2j0qp8p/f37918ab925cd527521a6ef6c6891eca6d75316f.jpg
Venant,KTM,2022,Fann Hock                                                                                 Dakar,3280000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b5770f099b37dcbecfcf6dd9b5c21bc1/-/horizon-files-prod/ed/picture/qkr8gjwp/162cf52be3aad5df1c890a28043f64ba7d201316.jpg
Venant,SYM,2023,Fann Hock                                                                                 Dakar,2950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/84f89ac29f88689ae5a3af570e497895/-/horizon-files-prod/ed/picture/qzvpdn68/ce216407055142c74750bd2ff3135bbd5f14d5b8.jpg
Venant,Suzuki,2015,Sangalkam                                                                                 Dakar,550000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5b3782cf2c644d72276c9688bb4f9c3/-/horizon-files-prod/ed/picture/qj4q5278/f1d2226df775ec7e495aacafc59f8a92ab6590a7.jpg
