conditions,brand,year,gearbox,adress,price,image
D'occasion,G,M,C,VDN                                                                                 Dakar,5300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9bd3ac96d1e4508a917c55145a7960da/-/horizon-files-prod/ed/picture/qxjpekv4/31964bd6bb410d15053e2410fafb44465f3e2407.jpg
Venant,Ford,2016,Automatique,Cite Mixta                                                                                 Dakar,5200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c8db199ab84a85e5b38edaf658f3361/-/horizon-files-prod/ed/picture/qxjpxnn0/e5a75d7c5b3ee21342fe26fd2f8282798932a444.jpg
Venant,Jeep,2021,Automatique,Point-e                                                                                 Dakar,42000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac9a9b78494c4ab61974a829f31d1893/-/horizon-files-prod/ed/picture/q2j0ge22/492e7635d6ca5b2184f2eafd3f29c5c1434e1a8a.jpg
Venant,Mazda,2018,Automatique,Sacré-cœur                                                                                 Dakar,13500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ebc81614c467e41b09e1c27de4fffee/-/horizon-files-prod/ed/picture/q8v4n2kr/b02351a8492de0a56c8652ae15891b671f01d859.jpg
Venant,Chevrolet,2016,Automatique,Nord foire                                                                                 Dakar,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a7af4d3325559aee3e62578bfb87a9f/-/horizon-files-prod/ed/picture/qngpn0qr/a23b2ae9524df7545742901caf075e587959ea37.jpg
Neuf,Nissan,2018,Automatique,Sicap Liberté                                                                                 Dakar,10500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/987d12964b76a618a5f481ebaed9abfa/-/horizon-files-prod/ed/picture/qq4285ke/9b6497b8e35f429685738e64e3f62225937a2db5.jpg
Venant,Mitsubishi,2016,Automatique,Dieuppeul                                                                                 Dakar,8200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/116ce7ea762f8eb79a6d56509f5d0f8a/-/horizon-files-prod/ed/picture/q9mj6rvp/586604653a868b9a707f3cada11c2003f0b19146.jpg
Venant,Acura,2016,Automatique,Ouest foire                                                                                 Dakar,15500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62f32b2dc1af46fbd227e8e275e85124/-/horizon-files-prod/ed/picture/q9mjdp7w/ab1fd216be3ae1957ac9b710a1de036d6dec0da1.jpg
D'occasion,Toyota,2019,Automatique,Ouest foire                                                                                 Dakar,18000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a32ab5f2f453637c5ebca250356fc3b/-/horizon-files-prod/ed/picture/qv4wq2zg/cea8c42b6409f5e13879d2d5b6ddf6412e3ca247.jpg
D'occasion,Hyundai,2017,Automatique,Derkle                                                                                 Dakar,5900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/70970bdf341d342268c6fcfef4e215f8/-/horizon-files-prod/ed/picture/qde7j2wm/0e6128c0237141d771bdbaf745c8fafa44ba60fa.jpg
