condition,brand,year,gearbox,adress,price,image-src
Venant,Ford,2017.0,Automatique,Pikine,12 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/70a34d9ea05131fc177a4cb311c0fc83/-/horizon-files-prod/ed/picture/qxj206g4/ed4748a92a008d5852d0fdb8217ba63f239a0312.jpg
Venant,Ford,2017.0,Automatique,Grand-Dakar,12 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/84d1916a2439827ea2722720198c2268/-/horizon-files-prod/ed/picture/q2j0ze9j/4a80fb6bfe2d9589295a6b42638f8cd7f69792c5.jpg
Venant,Toyota,2020.0,Automatique,Grand-Dakar,24 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3177c202bb1b52044c5e5a158c51ae17/-/horizon-files-prod/ed/picture/qde7rvqw/e43dfd8dc02d08503202eae0985fda5b02228524.jpg
Venant,BMW,2018.0,Automatique,Liberte 6,24 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5ca11242f7d58e01b437ddd8cca344f/-/horizon-files-prod/ed/picture/qgqw5n68/195da48cd94b362c1bf15ddc457b57373661bb0a.jpg
D'occasion,Fiat,2015.0,Manuelle,Sacré-cœur,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/43ec216fa133a19d04d5bf15e42b3695/-/horizon-files-prod/ed/picture/qkr8mwdn/43ff661157f139ae7310cd522ee974e84b4e697b.jpg
Neuf,Renault,2018.0,Automatique,Nord foire,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4a2e8e14d86787de2fb62048c83f422b/-/horizon-files-prod/ed/picture/q56dwmeg/6c870f68a3c5b92ffcec5083f0daaed0f0a9bf2f.jpg
D'occasion,Mercedes-Benz,2016.0,Automatique,Almadies,50 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b90589742dae9532a66a0e36c59fc67/-/horizon-files-prod/ed/picture/qrz82d6q/731ff4bb5ec61c1f2978d35c810164ab6431ca1b.jpg
Venant,Mercedes-Benz,2017.0,Automatique,Sicap Sacré-cœur,33 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/83d6be931705102d2d978c698f4f48e5/-/horizon-files-prod/ed/picture/qde7ewgg/0b7e32945add310f1a67565611e4bba9c2b7b3ff.jpg
D'occasion,Mitsubishi,2019.0,Manuelle,Hann Bel-Air,16 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/502c400a2d0b29946b002d6a32cce5d7/-/horizon-files-prod/ed/picture/qq47m2e7/d773bc164764f11aff7c3142762ffa961ac42a7a.png
D'occasion,Mitsubishi,2019.0,Automatique,Hann Bel-Air,17 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c3d15735883aede88e5cb0316f8bb954/-/horizon-files-prod/ed/picture/q0gwq76m/b2baf8859ba5525312cfa7f5362ab9a351281670.png
Neuf,Hyundai,2017.0,Automatique,Grand-Dakar,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ae9c9d64e5a467cd605a5da8abc87171/-/horizon-files-prod/ed/picture/q6xdx74g/a3750002cb934741fe18305344a50db3df47c1ad.jpg
Venant,Nissan,2017.0,Automatique,Sicap Sacré-cœur,8 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/824eed8e59e864eb025c8fdf7769885f/-/horizon-files-prod/ed/picture/q2j0jqjk/f7003f6c14a7ea9b76e2b6be78d190777ea0a899.jpg
D'occasion,Mercedes-Benz,2016.0,Automatique,Point-e,13 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6cba34e449a278fcb0e80990b6706c76/-/horizon-files-prod/ed/picture/qweprjj6/8727b6d0cf37e286bf4ad799578a3420404d93c3.jpg
Venant,Jeep,2017.0,Automatique,VDN,8 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/17fd6199587d1aa3d5494b520058fa77/-/horizon-files-prod/ed/picture/q0qxrq8/5fc27bdadfe98d3777bf03116972c8ab5f34ce96.jpg
Venant,Hyundai,2015.0,Automatique,Grand-Dakar,7 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/976c9bd6d09e6d9213428895d4c6ec01/-/horizon-files-prod/ed/picture/qpdmdmew/4cd20cb02783602bdfa9ec2fe53d0751312ba900.jpg
D'occasion,Ford,2012.0,Automatique,Grand-Dakar,4 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a8dd522646d856c3ed35710b6e40fe4/-/horizon-files-prod/ed/picture/qv4w4w6x/c946a6fbd52d30cdb07e8e97ad7eeec8ac1fa695.jpg
Venant,Ford,2018.0,Automatique,Grand-Dakar,15 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/04338720e82bce8ab8fa4ad0ac90e8a5/-/horizon-files-prod/ed/picture/qm5g5gez/6e7ab70eeae18a3f060fc343b6a206dcc387af29.jpg
D'occasion,BMW,2014.0,Automatique,Sicap Sacré-cœur,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e27738854d3039593e0b1128cfe22f83/-/horizon-files-prod/ed/picture/q44n45dr/cf50f1568201a96eac3ebcfacc30c4ce8b511ec3.jpg
